InvoiceNo,StockCode,AirlineDescription,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546884,90013C,3 Star Hotel,1,17/3/2011 18:08,4.15,,United Kingdom
573585,90013C,3 Star Hotel,2,31/10/2011 14:41,4.15,,United Kingdom
575177,90013C,3 Star Hotel,1,8/11/2011 18:41,4.15,,United Kingdom
575868,90013C,3 Star Hotel,4,11/11/2011 12:44,3.75,12985,United Kingdom
576618,90013C,3 Star Hotel,1,15/11/2011 17:00,4.15,,United Kingdom
576840,90013C,3 Star Hotel,2,16/11/2011 15:23,4.15,,United Kingdom
578065,90013C,3 Star Hotel,1,22/11/2011 15:41,4.15,,United Kingdom
579286,90013C,3 Star Hotel,1,29/11/2011 10:57,3.75,17772,United Kingdom
580367,90013C,3 Star Hotel,2,2/12/2011 16:39,4.15,,United Kingdom
581492,90013C,3 Star Hotel,2,9/12/2011 10:03,4.15,,United Kingdom
546884,90013B,3 Star Hotel,1,17/3/2011 18:08,4.15,,United Kingdom
547249,90013B,3 Star Hotel,1,22/3/2011 9:27,4.15,,United Kingdom
547386,90013B,3 Star Hotel,1,22/3/2011 15:52,4.15,,United Kingdom
575875,90013B,3 Star Hotel,1,11/11/2011 13:06,4.15,,United Kingdom
576617,90013B,3 Star Hotel,1,15/11/2011 16:57,4.15,,United Kingdom
578344,90013B,3 Star Hotel,1,24/11/2011 9:21,4.15,,United Kingdom
578347,90013B,3 Star Hotel,2,24/11/2011 9:26,4.15,,United Kingdom
578844,90013B,3 Star Hotel,1,25/11/2011 16:14,4.15,,United Kingdom
579187,90013B,3 Star Hotel,2,28/11/2011 15:31,4.15,,United Kingdom
579508,90013B,3 Star Hotel,1,29/11/2011 16:33,4.15,,United Kingdom
579777,90013B,3 Star Hotel,1,30/11/2011 15:13,4.15,,United Kingdom
575944,90012B,3 Star Hotel,6,13/11/2011 11:46,2.95,16571,United Kingdom
578347,90011C,3 Star Hotel,1,24/11/2011 9:26,2.9,,United Kingdom
579777,90011B,3 Star Hotel,1,30/11/2011 15:13,2.9,,United Kingdom
549550,90010E,3 Star Hotel,1,10/4/2011 11:45,8.95,15038,United Kingdom
575177,90010E,3 Star Hotel,3,8/11/2011 18:41,9.15,,United Kingdom
577768,90010E,3 Star Hotel,2,21/11/2011 15:18,9.15,,United Kingdom
580367,90010E,3 Star Hotel,1,2/12/2011 16:39,9.15,,United Kingdom
549550,90010B,3 Star Hotel,2,10/4/2011 11:45,8.95,15038,United Kingdom
576329,90003E,3 Star Hotel,1,14/11/2011 15:22,3.73,,United Kingdom
576618,90003E,3 Star Hotel,1,15/11/2011 17:00,3.73,,United Kingdom
579512,90003E,3 Star Hotel,3,29/11/2011 16:47,3.73,,United Kingdom
581217,90003E,3 Star Hotel,1,8/12/2011 9:20,3.73,,United Kingdom
581492,90003E,3 Star Hotel,2,9/12/2011 10:03,3.73,,United Kingdom
549573,90003D,3 Star Hotel,2,10/4/2011 16:01,3.75,14504,United Kingdom
574840,90003D,3 Star Hotel,1,7/11/2011 11:41,3.75,12748,United Kingdom
575875,90003D,3 Star Hotel,1,11/11/2011 13:06,3.73,,United Kingdom
576618,90003D,3 Star Hotel,1,15/11/2011 17:00,3.73,,United Kingdom
577768,90003D,3 Star Hotel,1,21/11/2011 15:18,3.73,,United Kingdom
579512,90003D,3 Star Hotel,3,29/11/2011 16:47,3.73,,United Kingdom
548370,90002D,3 Star Hotel,1,30/3/2011 16:14,3.75,15528,United Kingdom
549570,90001C,3 Star Hotel,1,10/4/2011 15:19,4.25,17550,United Kingdom
575177,90001B,3 Star Hotel,1,8/11/2011 18:41,4.15,,United Kingdom
547249,90001A,3 Star Hotel,1,22/3/2011 9:27,4.15,,United Kingdom
573585,90001A,3 Star Hotel,1,31/10/2011 14:41,4.15,,United Kingdom
547964,90000D,3 Star Hotel,1,28/3/2011 15:45,6.23,,United Kingdom
578827,90000D,3 Star Hotel,1,25/11/2011 14:25,6.23,,United Kingdom
577829,85231G,3 Star Hotel,1,22/11/2011 9:55,0,,United Kingdom
546542,85231B,3 Star Hotel,3,14/3/2011 15:13,0.85,13263,United Kingdom
546951,85231B,3 Star Hotel,5,18/3/2011 11:30,0.85,17673,United Kingdom
547656,85231B,3 Star Hotel,1,24/3/2011 12:53,0.85,13263,United Kingdom
548188,85231B,3 Star Hotel,2,29/3/2011 15:12,0.85,13263,United Kingdom
548384,85231B,3 Star Hotel,1,30/3/2011 16:47,0.85,,United Kingdom
548711,85231B,3 Star Hotel,1,3/4/2011 14:24,0.85,18116,United Kingdom
549569,85231B,3 Star Hotel,2,10/4/2011 15:15,0.85,15547,United Kingdom
549733,85231B,3 Star Hotel,6,11/4/2011 16:56,0.85,17827,United Kingdom
573576,85231B,3 Star Hotel,4,31/10/2011 14:09,1.63,14096,United Kingdom
573770,85231B,3 Star Hotel,12,1/11/2011 10:12,0.85,15214,United Kingdom
574035,85231B,3 Star Hotel,1,2/11/2011 12:45,0.85,14606,United Kingdom
575477,85231B,3 Star Hotel,1,9/11/2011 16:14,1.63,,United Kingdom
575760,85231B,3 Star Hotel,10,11/11/2011 10:50,0.85,15965,United Kingdom
575846,85231B,3 Star Hotel,4,11/11/2011 12:07,0.85,17364,United Kingdom
575854,85231B,3 Star Hotel,12,11/11/2011 12:20,0.85,14125,United Kingdom
575941,85231B,3 Star Hotel,4,13/11/2011 11:39,0.85,16438,United Kingdom
576014,85231B,3 Star Hotel,3,13/11/2011 14:29,0.85,17218,United Kingdom
576864,85231B,3 Star Hotel,2,16/11/2011 16:06,0.85,12748,United Kingdom
577078,85231B,3 Star Hotel,2,17/11/2011 15:17,1.63,,United Kingdom
577736,85231B,3 Star Hotel,2,21/11/2011 13:20,0.85,14606,United Kingdom
578030,85231B,3 Star Hotel,24,22/11/2011 13:40,0.85,15498,United Kingdom
578065,85231B,3 Star Hotel,1,22/11/2011 15:41,1.63,,United Kingdom
578270,85231B,3 Star Hotel,4,23/11/2011 13:39,1.63,14096,United Kingdom
578827,85231B,3 Star Hotel,3,25/11/2011 14:25,1.63,,United Kingdom
578928,85231B,3 Star Hotel,3,27/11/2011 12:29,0.85,15443,United Kingdom
578928,85231B,3 Star Hotel,5,27/11/2011 12:29,0.85,15443,United Kingdom
579196,85231B,3 Star Hotel,2,28/11/2011 15:54,1.63,14096,United Kingdom
579512,85231B,3 Star Hotel,1,29/11/2011 16:47,1.63,,United Kingdom
579522,85231B,3 Star Hotel,12,30/11/2011 8:04,0.85,14432,United Kingdom
579550,85231B,3 Star Hotel,12,30/11/2011 10:48,0.85,12630,Finland
579777,85231B,3 Star Hotel,3,30/11/2011 15:13,1.63,,United Kingdom
580115,85231B,3 Star Hotel,1,1/12/2011 16:22,1.63,,United Kingdom
580260,85231B,3 Star Hotel,1,2/12/2011 12:36,0.85,14085,United Kingdom
580367,85231B,3 Star Hotel,1,2/12/2011 16:39,1.63,,United Kingdom
580505,85231B,3 Star Hotel,6,4/12/2011 13:32,0.85,15867,United Kingdom
580520,85231B,3 Star Hotel,2,4/12/2011 14:55,0.85,13521,United Kingdom
580667,85231B,3 Star Hotel,3,5/12/2011 14:19,0.85,15031,United Kingdom
580727,85231B,3 Star Hotel,1,5/12/2011 17:17,1.63,14096,United Kingdom
580729,85231B,3 Star Hotel,2,5/12/2011 17:24,1.63,,United Kingdom
580903,85231B,3 Star Hotel,2,6/12/2011 12:56,0.85,14606,United Kingdom
580983,85231B,3 Star Hotel,1,6/12/2011 16:26,1.63,,United Kingdom
581219,85231B,3 Star Hotel,1,8/12/2011 9:28,1.63,,United Kingdom
581352,85231B,3 Star Hotel,3,8/12/2011 12:26,0.85,14698,United Kingdom
581405,85231B,3 Star Hotel,5,8/12/2011 13:50,0.85,13521,United Kingdom
547401,85230B,3 Star Hotel,24,22/3/2011 17:00,0.29,17576,United Kingdom
549548,85230B,3 Star Hotel,12,10/4/2011 11:35,0.29,13548,United Kingdom
574690,85230B,3 Star Hotel,24,6/11/2011 13:11,0.29,12638,Sweden
575323,85230B,3 Star Hotel,24,9/11/2011 13:37,0.29,15392,United Kingdom
575854,85230B,3 Star Hotel,24,11/11/2011 12:20,0.29,14125,United Kingdom
575884,85230B,3 Star Hotel,24,11/11/2011 13:46,0.29,12685,France
577030,85230B,3 Star Hotel,144,17/11/2011 12:59,0.21,14060,United Kingdom
577320,85230B,3 Star Hotel,24,18/11/2011 13:44,0.29,13880,United Kingdom
578335,85230B,3 Star Hotel,24,24/11/2011 9:06,0.29,17481,United Kingdom
579526,85230B,3 Star Hotel,24,30/11/2011 8:38,0.29,18058,United Kingdom
580980,85230B,3 Star Hotel,24,6/12/2011 15:43,0.29,17730,United Kingdom
546182,85206A,3 Star Hotel,6,10/3/2011 10:53,1.65,14334,United Kingdom
546250,85206A,3 Star Hotel,6,10/3/2011 14:14,1.65,14350,United Kingdom
546261,85206A,3 Star Hotel,1,10/3/2011 15:01,1.65,17841,United Kingdom
546275,85206A,3 Star Hotel,6,10/3/2011 15:06,1.65,13126,United Kingdom
546316,85206A,3 Star Hotel,6,11/3/2011 8:59,1.65,17076,United Kingdom
546368,85206A,3 Star Hotel,42,11/3/2011 11:38,1.65,,United Kingdom
546383,85206A,3 Star Hotel,6,11/3/2011 12:54,1.65,13654,United Kingdom
546397,85206A,3 Star Hotel,6,11/3/2011 14:37,1.65,12971,United Kingdom
546423,85206A,3 Star Hotel,1,13/3/2011 12:39,1.65,14502,United Kingdom
546429,85206A,3 Star Hotel,2,13/3/2011 15:25,1.65,17611,United Kingdom
546462,85206A,3 Star Hotel,144,14/3/2011 10:55,1.45,12845,United Kingdom
546531,85206A,3 Star Hotel,12,14/3/2011 13:35,1.65,15738,United Kingdom
546534,85206A,3 Star Hotel,6,14/3/2011 13:56,1.65,16150,United Kingdom
546569,85206A,3 Star Hotel,12,15/3/2011 10:53,1.65,14016,EIRE
546670,85206A,3 Star Hotel,3,15/3/2011 15:37,1.65,13451,United Kingdom
546742,85206A,3 Star Hotel,1,16/3/2011 12:26,1.65,12849,United Kingdom
546891,85206A,3 Star Hotel,3,17/3/2011 18:18,1.65,,United Kingdom
546896,85206A,3 Star Hotel,1,17/3/2011 18:24,1.65,,United Kingdom
546223,85194S,3 Star Hotel,24,10/3/2011 12:22,0.65,14854,United Kingdom
546426,85194S,3 Star Hotel,8,13/3/2011 13:46,0.65,13708,United Kingdom
546569,85194S,3 Star Hotel,24,15/3/2011 10:53,0.65,14016,EIRE
546639,85194S,3 Star Hotel,24,15/3/2011 12:54,0.65,13971,United Kingdom
C546867,85194S,3 Star Hotel,-24,17/3/2011 15:48,0.65,18218,United Kingdom
546986,85194S,3 Star Hotel,24,18/3/2011 12:56,0.65,14194,United Kingdom
547249,85194S,3 Star Hotel,1,22/3/2011 9:27,1.63,,United Kingdom
547357,85194S,3 Star Hotel,24,22/3/2011 12:15,0.65,17613,United Kingdom
547377,85194S,3 Star Hotel,24,22/3/2011 14:43,0.65,13050,United Kingdom
547572,85194S,3 Star Hotel,24,24/3/2011 10:03,0.65,13512,United Kingdom
C547807,85194S,3 Star Hotel,-4,25/3/2011 13:41,0.65,14194,United Kingdom
547945,85194S,3 Star Hotel,24,28/3/2011 14:59,0.65,14851,United Kingdom
547967,85194S,3 Star Hotel,1,28/3/2011 15:49,1.63,,United Kingdom
548176,85194S,3 Star Hotel,10,29/3/2011 14:20,0.65,13439,United Kingdom
548664,85194S,3 Star Hotel,24,1/4/2011 14:45,0.65,14911,EIRE
548714,85194S,3 Star Hotel,2,3/4/2011 15:07,0.65,17337,United Kingdom
548894,85194S,3 Star Hotel,2,4/4/2011 16:01,1.63,,United Kingdom
549130,85194S,3 Star Hotel,4,6/4/2011 15:02,0.65,14701,United Kingdom
549155,85194S,3 Star Hotel,3,6/4/2011 17:08,1.63,,United Kingdom
549715,85194S,3 Star Hotel,24,11/4/2011 14:40,0.65,13203,United Kingdom
550057,85194S,3 Star Hotel,3,14/4/2011 12:01,0.65,14606,United Kingdom
550152,85194S,3 Star Hotel,12,14/4/2011 14:43,0.65,17362,United Kingdom
578088,85194S,3 Star Hotel,48,22/11/2011 16:47,0.19,16376,United Kingdom
578941,85194S,3 Star Hotel,36,27/11/2011 13:26,0.19,16024,United Kingdom
579141,85194S,3 Star Hotel,3,28/11/2011 13:06,0.19,17019,United Kingdom
579161,85194S,3 Star Hotel,5,28/11/2011 13:56,0.19,17379,United Kingdom
579922,85194S,3 Star Hotel,48,1/12/2011 9:06,0.19,13854,United Kingdom
580027,85194S,3 Star Hotel,12,1/12/2011 12:01,0.19,14178,United Kingdom
580469,85194S,3 Star Hotel,5,4/12/2011 12:32,0.19,14583,United Kingdom
546159,85194L,3 Star Hotel,12,10/3/2011 9:41,0.85,16471,United Kingdom
546182,85194L,3 Star Hotel,12,10/3/2011 10:53,0.85,14334,United Kingdom
546223,85194L,3 Star Hotel,12,10/3/2011 12:22,0.85,14854,United Kingdom
546250,85194L,3 Star Hotel,12,10/3/2011 14:14,0.85,14350,United Kingdom
546330,85194L,3 Star Hotel,12,11/3/2011 10:30,0.85,16817,United Kingdom
546423,85194L,3 Star Hotel,2,13/3/2011 12:39,0.85,14502,United Kingdom
546569,85194L,3 Star Hotel,12,15/3/2011 10:53,0.85,14016,EIRE
546639,85194L,3 Star Hotel,24,15/3/2011 12:54,0.85,13971,United Kingdom
546742,85194L,3 Star Hotel,36,16/3/2011 12:26,0.85,12849,United Kingdom
546774,85194L,3 Star Hotel,7,16/3/2011 15:45,0.85,14505,United Kingdom
546786,85194L,3 Star Hotel,24,17/3/2011 9:57,0.85,16523,United Kingdom
C546867,85194L,3 Star Hotel,-12,17/3/2011 15:48,0.85,18218,United Kingdom
546884,85194L,3 Star Hotel,2,17/3/2011 18:08,1.63,,United Kingdom
546986,85194L,3 Star Hotel,12,18/3/2011 12:56,0.85,14194,United Kingdom
C547104,85194L,3 Star Hotel,-8,21/3/2011 11:02,0.85,16817,United Kingdom
C547241,85194L,3 Star Hotel,-8,21/3/2011 16:34,0.85,16817,United Kingdom
547248,85194L,3 Star Hotel,2,22/3/2011 9:23,1.63,,United Kingdom
547249,85194L,3 Star Hotel,6,22/3/2011 9:27,1.63,,United Kingdom
547804,85194L,3 Star Hotel,8,25/3/2011 13:30,0.85,16817,United Kingdom
547837,85194L,3 Star Hotel,36,27/3/2011 10:26,0.85,17243,United Kingdom
547860,85194L,3 Star Hotel,7,27/3/2011 12:21,0.85,17625,United Kingdom
547887,85194L,3 Star Hotel,12,28/3/2011 9:30,0.85,16245,United Kingdom
547910,85194L,3 Star Hotel,3,28/3/2011 12:23,0.85,14159,United Kingdom
547967,85194L,3 Star Hotel,1,28/3/2011 15:49,1.63,,United Kingdom
548191,85194L,3 Star Hotel,1,29/3/2011 15:20,1.63,,United Kingdom
548194,85194L,3 Star Hotel,1,29/3/2011 15:30,1.63,,United Kingdom
548873,85194L,3 Star Hotel,12,4/4/2011 15:10,0.85,12971,United Kingdom
549155,85194L,3 Star Hotel,2,6/4/2011 17:08,1.63,,United Kingdom
549250,85194L,3 Star Hotel,3,7/4/2011 12:10,0.85,14446,United Kingdom
549251,85194L,3 Star Hotel,4,7/4/2011 12:16,0.85,14449,United Kingdom
549715,85194L,3 Star Hotel,12,11/4/2011 14:40,0.85,13203,United Kingdom
549771,85194L,3 Star Hotel,6,12/4/2011 11:43,0.85,14669,United Kingdom
549966,85194L,3 Star Hotel,12,13/4/2011 14:17,0.85,16224,United Kingdom
550152,85194L,3 Star Hotel,10,14/4/2011 14:43,0.85,17362,United Kingdom
578088,85194L,3 Star Hotel,11,22/11/2011 16:47,0.85,16376,United Kingdom
546306,85188A,3 Star Hotel,1,10/3/2011 16:16,1.63,,United Kingdom
546534,85188A,3 Star Hotel,24,14/3/2011 13:56,0.85,16150,United Kingdom
546670,85188A,3 Star Hotel,6,15/3/2011 15:37,0.85,13451,United Kingdom
546774,85188A,3 Star Hotel,4,16/3/2011 15:45,0.85,14505,United Kingdom
546896,85188A,3 Star Hotel,1,17/3/2011 18:24,1.63,,United Kingdom
547055,85188A,3 Star Hotel,2,20/3/2011 12:14,0.85,16444,United Kingdom
547063,85188A,3 Star Hotel,6,20/3/2011 13:33,0.85,14769,United Kingdom
547490,85188A,3 Star Hotel,4,23/3/2011 11:48,0.85,17507,United Kingdom
547498,85188A,3 Star Hotel,2,23/3/2011 12:24,0.85,15021,United Kingdom
547850,85188A,3 Star Hotel,4,27/3/2011 12:06,0.85,14472,United Kingdom
547864,85188A,3 Star Hotel,24,27/3/2011 13:10,0.85,15716,United Kingdom
547887,85188A,3 Star Hotel,24,28/3/2011 9:30,0.85,16245,United Kingdom
547906,85188A,3 Star Hotel,4,28/3/2011 12:13,0.85,14410,United Kingdom
547909,85188A,3 Star Hotel,4,28/3/2011 12:22,0.85,15033,United Kingdom
548614,85188A,3 Star Hotel,6,1/4/2011 11:47,0.85,14419,United Kingdom
548863,85188A,3 Star Hotel,4,4/4/2011 13:57,0.85,15311,United Kingdom
548893,85188A,3 Star Hotel,2,4/4/2011 15:54,1.63,,United Kingdom
548984,85188A,3 Star Hotel,6,5/4/2011 12:37,0.85,14546,United Kingdom
549729,85188A,3 Star Hotel,2,11/4/2011 16:17,0.85,13634,United Kingdom
550123,85188A,3 Star Hotel,8,14/4/2011 12:39,0.85,,United Kingdom
550157,85188A,3 Star Hotel,1,14/4/2011 15:26,0.85,16393,United Kingdom
550196,85188A,3 Star Hotel,4,15/4/2011 10:09,0.85,14796,United Kingdom
546136,85186C,3 Star Hotel,2,9/3/2011 16:32,0.83,,United Kingdom
546275,85186C,3 Star Hotel,24,10/3/2011 15:06,0.42,13126,United Kingdom
546406,85186C,3 Star Hotel,1,11/3/2011 16:21,0.83,,United Kingdom
546424,85186C,3 Star Hotel,4,13/3/2011 12:51,0.42,13956,United Kingdom
546426,85186C,3 Star Hotel,6,13/3/2011 13:46,0.42,13708,United Kingdom
546525,85186C,3 Star Hotel,24,14/3/2011 12:58,0.42,14733,United Kingdom
546737,85186C,3 Star Hotel,24,16/3/2011 11:52,0.42,13358,United Kingdom
546884,85186C,3 Star Hotel,1,17/3/2011 18:08,0.83,,United Kingdom
546896,85186C,3 Star Hotel,1,17/3/2011 18:24,0.83,,United Kingdom
547249,85186C,3 Star Hotel,1,22/3/2011 9:27,0.83,,United Kingdom
547250,85186C,3 Star Hotel,1,22/3/2011 9:30,0.83,,United Kingdom
547377,85186C,3 Star Hotel,24,22/3/2011 14:43,0.42,13050,United Kingdom
547386,85186C,3 Star Hotel,1,22/3/2011 15:52,0.83,,United Kingdom
547772,85186C,3 Star Hotel,2,25/3/2011 11:34,0.42,17979,United Kingdom
547788,85186C,3 Star Hotel,2,25/3/2011 12:00,0.83,,United Kingdom
547830,85186C,3 Star Hotel,1,25/3/2011 15:50,0.83,,United Kingdom
547850,85186C,3 Star Hotel,1,27/3/2011 12:06,0.42,14472,United Kingdom
547860,85186C,3 Star Hotel,1,27/3/2011 12:21,0.42,17625,United Kingdom
547864,85186C,3 Star Hotel,2,27/3/2011 13:10,0.42,15716,United Kingdom
547909,85186C,3 Star Hotel,16,28/3/2011 12:22,0.42,15033,United Kingdom
